subjects	Activity	variable	Description
1	WALKING	tBodyAcc-mean()-X	"Subject # 1 while WALKING,Mean of measurements of Body acceleration for  X axis  in (time domain)"
1	WALKING	tBodyAcc-mean()-Y	"Subject # 1 while WALKING,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
1	WALKING	tBodyAcc-mean()-Z	"Subject # 1 while WALKING,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
1	WALKING	tBodyAcc-std()-X	"Subject # 1 while WALKING,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
1	WALKING	tBodyAcc-std()-Y	"Subject # 1 while WALKING,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
1	WALKING	tBodyAcc-std()-Z	"Subject # 1 while WALKING,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
1	WALKING	tGravityAcc-mean()-X	"Subject # 1 while WALKING,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
1	WALKING	tGravityAcc-mean()-Y	"Subject # 1 while WALKING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
1	WALKING	tGravityAcc-mean()-Z	"Subject # 1 while WALKING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
1	WALKING	tGravityAcc-std()-X	"Subject # 1 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
1	WALKING	tGravityAcc-std()-Y	"Subject # 1 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
1	WALKING	tGravityAcc-std()-Z	"Subject # 1 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
1	WALKING	tBodyAccJerk-mean()-X	"Subject # 1 while WALKING,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
1	WALKING	tBodyAccJerk-mean()-Y	"Subject # 1 while WALKING,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
1	WALKING	tBodyAccJerk-mean()-Z	"Subject # 1 while WALKING,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
1	WALKING	tBodyAccJerk-std()-X	"Subject # 1 while WALKING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
1	WALKING	tBodyAccJerk-std()-Y	"Subject # 1 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
1	WALKING	tBodyAccJerk-std()-Z	"Subject # 1 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
1	WALKING	tBodyGyro-mean()-X	"Subject # 1 while WALKING,Mean of body angular velocity for x- axis in (time domain)"
1	WALKING	tBodyGyro-mean()-Y	"Subject # 1 while WALKING,Mean of body angular velocity for y- axis in (time domain)"
1	WALKING	tBodyGyro-mean()-Z	"Subject # 1 while WALKING,Mean of body angular velocity for z- axis in (time domain)"
1	WALKING	tBodyGyro-std()-X	"Subject # 1 while WALKING,Standard deviation of body angular velocity for x- axis in (time domain)"
1	WALKING	tBodyGyro-std()-Y	"Subject # 1 while WALKING,Standard deviation of body angular velocity for y- axis in (time domain)"
1	WALKING	tBodyGyro-std()-Z	"Subject # 1 while WALKING,Standard deviation of body angular velocity for z- axis in (time domain)"
1	WALKING	tBodyGyroJerk-mean()-X	"Subject # 1 while WALKING,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
1	WALKING	tBodyGyroJerk-mean()-Y	"Subject # 1 while WALKING,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
1	WALKING	tBodyGyroJerk-mean()-Z	"Subject # 1 while WALKING,Mean of the  body angular velocity Jerk for Z- axis in (time domain)"
1	WALKING	tBodyGyroJerk-std()-X	"Subject # 1 while WALKING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (time domain)"
1	WALKING	tBodyGyroJerk-std()-Y	"Subject # 1 while WALKING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
1	WALKING	tBodyGyroJerk-std()-Z	"Subject # 1 while WALKING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
1	WALKING	tBodyAccMag-mean()	"Subject # 1 while WALKING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
1	WALKING	tBodyAccMag-std()	"Subject # 1 while WALKING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
1	WALKING	tGravityAccMag-mean()	"Subject # 1 while WALKING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
1	WALKING	tGravityAccMag-std()	"Subject # 1 while WALKING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
1	WALKING	tBodyAccJerkMag-mean()	"Subject # 1 while WALKING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
1	WALKING	tBodyAccJerkMag-std()	"Subject # 1 while WALKING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
1	WALKING	tBodyGyroMag-mean()	"Subject # 1 while WALKING,Mean of magnitute of measurements of body angular velocity in (time domain)"
1	WALKING	tBodyGyroMag-std()	"Subject # 1 while WALKING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
1	WALKING	tBodyGyroJerkMag-mean()	"Subject # 1 while WALKING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
1	WALKING	tBodyGyroJerkMag-std()	"Subject # 1 while WALKING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
1	WALKING	fBodyAcc-mean()-X	"Subject # 1 while WALKING,Mean of measurements of Body acceleration for  X axis  in (frequency domain)"
1	WALKING	fBodyAcc-mean()-Y	"Subject # 1 while WALKING,Mean of measurements of Body acceleration for  Y axis  in (frequency domain)"
1	WALKING	fBodyAcc-mean()-Z	"Subject # 1 while WALKING,Mean of measurements of Body acceleration for  Z axis  in (frequency domain)"
1	WALKING	fBodyAcc-std()-X	"Subject # 1 while WALKING,Standard deviation  of measurements of Body acceleration for  X axis  in (frequency domain)"
1	WALKING	fBodyAcc-std()-Y	"Subject # 1 while WALKING,Standard deviation  of measurements of Body acceleration for  Y axis  in (frequency domain)"
1	WALKING	fBodyAcc-std()-Z	"Subject # 1 while WALKING,Standard deviation  of measurements of Body acceleration for  Z axis  in (frequency domain)"
1	WALKING	fBodyAccJerk-mean()-X	"Subject # 1 while WALKING,Mean of measurements of   acceleration due to Gravity for  X axis  in (frequency domain)"
1	WALKING	fBodyAccJerk-mean()-Y	"Subject # 1 while WALKING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (frequency domain)"
1	WALKING	fBodyAccJerk-mean()-Z	"Subject # 1 while WALKING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (frequency domain)"
1	WALKING	fBodyAccJerk-std()-X	"Subject # 1 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (frequency domain)"
1	WALKING	fBodyAccJerk-std()-Y	"Subject # 1 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (frequency domain)"
1	WALKING	fBodyAccJerk-std()-Z	"Subject # 1 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (frequency domain)"
1	WALKING	fBodyGyro-mean()-X	"Subject # 1 while WALKING,Mean of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
1	WALKING	fBodyGyro-mean()-Y	"Subject # 1 while WALKING,Mean of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
1	WALKING	fBodyGyro-mean()-Z	"Subject # 1 while WALKING,Mean of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
1	WALKING	fBodyGyro-std()-X	"Subject # 1 while WALKING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
1	WALKING	fBodyGyro-std()-Y	"Subject # 1 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
1	WALKING	fBodyGyro-std()-Z	"Subject # 1 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
1	WALKING	fBodyAccMag-mean()	"Subject # 1 while WALKING,Mean of body angular velocity for x- axis in (frequency domain)"
1	WALKING	fBodyAccMag-std()	"Subject # 1 while WALKING,Mean of body angular velocity for y- axis in (frequency domain)"
1	WALKING	fBodyBodyAccJerkMag-mean()	"Subject # 1 while WALKING,Mean of body angular velocity for z- axis in (frequency domain)"
1	WALKING	fBodyBodyAccJerkMag-std()	"Subject # 1 while WALKING,Standard deviation of body angular velocity for x- axis in (frequency domain)"
1	WALKING	fBodyBodyGyroMag-mean()	"Subject # 1 while WALKING,Standard deviation of body angular velocity for y- axis in (frequency domain)"
1	WALKING	fBodyBodyGyroMag-std()	"Subject # 1 while WALKING,Standard deviation of body angular velocity for z- axis in (frequency domain)"
1	WALKING	fBodyBodyGyroJerkMag-mean()	"Subject # 1 while WALKING,Mean of the  body angular velocity Jerk for X- axis in (frequency domain)"
1	WALKING	fBodyBodyGyroJerkMag-std()	"Subject # 1 while WALKING,Mean of the  body angular velocity Jerk for Y- axis in (frequency domain)"
1	WALKING_UPSTAIRS	tBodyAcc-mean()-X	"Subject # 1 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration for  X axis  in (time domain)"
1	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	"Subject # 1 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
